1,2,165.0.0.0,4
1,4,166.0.0.0,2
0,6,127.0.0.2,2
0,8,127.0.0.3,2
0,0,0.0.0.0,0
1,6,127.0.0.2,168.0.0.1,0
1,8,127.0.0.3,127.0.0.2,0
1,2,165.0.0.0,166.0.0.0,0
0,2,165.0.0.0,127.0.0.1,4
0,4,166.0.0.0,127.0.0.1,2
0,4,166.0.0.0,167.0.0.0,2
0,4,166.0.0.0,127.0.0.2,1
0,2,165.0.0.0,168.0.0.0,1
0,2,168.0.0.0,167.0.0.0,2
0,4,168.0.0.0,168.0.0.1,1
1,6,127.0.0.2,168.0.0.1,0
1,8,127.0.0.3,127.0.0.2,0
1,2,165.0.0.0,166.0.0.0,0
0,2,127.0.0.1,165.0.0.0,2147483647
0,6,127.0.0.1,127.0.0.2,2147483647
1,8,127.0.0.3,168.0.0.1,0
1,8,127.0.0.3,127.0.0.2,0
1,2,167.0.0.0,127.0.0.2,0
0,2,127.0.0.1,165.0.0.0,6
1,6,127.0.0.2,168.0.0.1,0
0,2,127.0.0.1,165.0.0.0,1
1,6,127.0.0.2,168.0.0.1,0

